object_label	affordances
kettle	grasp,pour,contain
teapot	grasp,pour,contain
cup	grasp,contain,pour
mug	grasp,contain,pour
bottle	grasp,contain,pour,open
can	grasp,contain,open
bowl	grasp,contain,support
plate	grasp,support
pan	grasp,contain
pot	grasp,contain,pour
knife	grasp,cut,stab
scissors	grasp,cut,stab
spoon	grasp
fork	grasp,stab
chopsticks	grasp
pen	grasp
toothbrush	grasp
chair	sit,support,move
stool	sit,support,move
table	support,move
desk	support,move
bed	lay,sit,support
sofa	sit,lay,support
couch	sit,lay,support
door	open,push,pull
drawer	open,pull,push,contain
cabinet	open,pull,contain,support
box	open,contain,grasp
basket	contain,grasp
trashcan	contain,open,move
laptop	open,display,press
keyboard	press
mouse	grasp,press,move
monitor	display,press
tv	display,press
display	display,press
remote	press,grasp
phone	display,press,grasp
earphone	listen,wear,grasp
headphone	listen,wear,grasp
hat	wear,grasp
shoe	wear,grasp
clothes	wear,grasp
towel	grasp
bag	contain,grasp,wear
backpack	contain,grasp,wear
faucet	open,grasp
clock	display,grasp
vase	contain,grasp,support
flowerpot	contain,support,grasp
microwave	open,contain,press
refrigerator	open,contain,pull
dishwasher	open,contain,pull
switch	press,push
button	press,push
handle	grasp,wrap_grasp,pull
umbrella	grasp,open
book	open,grasp
toy	grasp
