image_id	instance_id	object_id	raw_name	gt_category_id	pred_instance_id	pred_category_id	mask_iou_best_any_class	mask_iou_class_matched	class_correct
obj_001_充电器__color_00000	obj_001_充电器__color_00000__gt00	obj_001_充电器	充电器	charger	obj_001_充电器__color_00000__yolo_pred00	charger	0.878047	0.878047	1
obj_001_充电器__color_00001	obj_001_充电器__color_00001__gt00	obj_001_充电器	充电器	charger	obj_001_充电器__color_00001__yolo_pred00	charger	0.907611	0.907611	1
obj_001_充电器__color_00002	obj_001_充电器__color_00002__gt00	obj_001_充电器	充电器	charger	obj_001_充电器__color_00002__yolo_pred00	charger	0.927034	0.927034	1
obj_001_充电器__color_00003	obj_001_充电器__color_00003__gt00	obj_001_充电器	充电器	charger	obj_001_充电器__color_00003__yolo_pred00	charger	0.899725	0.899725	1
obj_002_刀具架__color_00000	obj_002_刀具架__color_00000__gt00	obj_002_刀具架	刀具架	rack	obj_002_刀具架__color_00000__yolo_pred00	rack	0.897000	0.897000	1
obj_002_刀具架__color_00001	obj_002_刀具架__color_00001__gt00	obj_002_刀具架	刀具架	rack	obj_002_刀具架__color_00001__yolo_pred00	rack	0.968740	0.968740	1
obj_002_刀具架__color_00002	obj_002_刀具架__color_00002__gt00	obj_002_刀具架	刀具架	rack	obj_002_刀具架__color_00002__yolo_pred00	rack	0.877696	0.877696	1
obj_002_刀具架__color_00003	obj_002_刀具架__color_00003__gt00	obj_002_刀具架	刀具架	rack	obj_002_刀具架__color_00003__yolo_pred00	rack	0.952222	0.952222	1
obj_002_刀具架__color_00004	obj_002_刀具架__color_00004__gt00	obj_002_刀具架	刀具架	rack	obj_002_刀具架__color_00004__yolo_pred00	rack	0.843139	0.843139	1
obj_003_削皮刀__color_00000	obj_003_削皮刀__color_00000__gt00	obj_003_削皮刀	削皮刀	knife	obj_003_削皮刀__color_00000__yolo_pred00	knife	0.894599	0.894599	1
obj_003_削皮刀__color_00001	obj_003_削皮刀__color_00001__gt00	obj_003_削皮刀	削皮刀	knife	obj_003_削皮刀__color_00001__yolo_pred00	knife	0.761637	0.761637	1
obj_003_削皮刀__color_00002	obj_003_削皮刀__color_00002__gt00	obj_003_削皮刀	削皮刀	knife	obj_003_削皮刀__color_00002__yolo_pred00	knife	0.700782	0.700782	1
obj_003_削皮刀__color_00003	obj_003_削皮刀__color_00003__gt00	obj_003_削皮刀	削皮刀	knife	obj_003_削皮刀__color_00003__yolo_pred00	knife	0.672959	0.672959	1
obj_004_剪刀__color_00001	obj_004_剪刀__color_00001__gt00	obj_004_剪刀	剪刀	knife	obj_004_剪刀__color_00001__yolo_pred00	knife	0.599954	0.599954	1
obj_005_勺子__color_00000	obj_005_勺子__color_00000__gt00	obj_005_勺子	勺子	spoon	obj_005_勺子__color_00000__yolo_pred00	spoon	0.950059	0.950059	1
obj_005_勺子__color_00001	obj_005_勺子__color_00001__gt00	obj_005_勺子	勺子	spoon	obj_005_勺子__color_00001__yolo_pred00	spoon	0.947234	0.947234	1
obj_005_勺子__color_00002	obj_005_勺子__color_00002__gt00	obj_005_勺子	勺子	spoon	obj_005_勺子__color_00002__yolo_pred00	spoon	0.944079	0.944079	1
obj_005_勺子__color_00003	obj_005_勺子__color_00003__gt00	obj_005_勺子	勺子	spoon	obj_005_勺子__color_00003__yolo_pred00	spoon	0.954680	0.954680	1
obj_005_勺子__color_00004	obj_005_勺子__color_00004__gt00	obj_005_勺子	勺子	spoon	obj_005_勺子__color_00004__yolo_pred00	spoon	0.963596	0.963596	1
obj_006_勺子2__color_00000	obj_006_勺子2__color_00000__gt00	obj_006_勺子2	勺子2	spoon	obj_006_勺子2__color_00000__yolo_pred00	spoon	0.939386	0.939386	1
